Código IBGE;Municípios;Microrregião;Estado;Região Geográfica;Área Km²;População;Domicílios;PIB Total (R$ mil);IDH - Índice de Desenv. Humano;Renda Média;Renda Nominal;PEA Dia;IDH - Dimensão Educação;IDH - Dimensão Longevidade
5210406;Itaberaí;Anápolis;GO;Centro-Oeste;1.457,28;43.622,00;14.407,54;1.288.948,07;0,719;3.572,93;51.477.153,58;30.205,00;0,61;0,828
5210562;Itaguari;Anápolis;GO;Centro-Oeste;146,64;4.685,00;1.710,08;70.411,07;0,693;3.104,27;5.308.559,34;2.311,00;0,596;0,817
5210604;Itaguaru;Anápolis;GO;Centro-Oeste;239,68;5.206,00;1.868,00;77.053,29;0,718;3.069,39;5.733.625,10;2.355,00;0,648;0,828
5210802;Itajá;Quirinópolis;GO;Centro-Oeste;2.091,40;4.475,00;1.565,11;99.163,70;0,691;3.291,31;5.151.244,71;2.483,00;0,57;0,835
5210901;Itapaci;Ceres;GO;Centro-Oeste;956,13;23.421,00;7.838,03;342.750,82;0,725;3.497,92;27.416.805,32;10.843,00;0,626;0,844
5211008;Itapirapuã;Rio Vermelho;GO;Centro-Oeste;2.043,71;4.685,00;1.729,24;143.055,45;0,677;2.845,27;4.920.152,26;3.548,00;0,568;0,816
5211206;Itapuranga;Ceres;GO;Centro-Oeste;1.276,48;25.681,00;9.368,18;422.456,22;0,726;3.102,31;29.063.049,83;12.653,00;0,653;0,837
5211305;Itarumã;Quirinópolis;GO;Centro-Oeste;3.433,63;7.259,00;2.472,64;245.224,48;0,693;3.991,52;9.869.620,53;3.546,00;0,503;0,861
5211404;Itauçu;Anápolis;GO;Centro-Oeste;383,84;8.960,00;3.154,74;142.457,60;0,718;3.287,08;10.369.891,73;4.473,00;0,638;0,833
5211503;Itumbiara;Meia Ponte;GO;Centro-Oeste;2.462,93;105.809,00;36.502,96;4.187.512,28;0,752;4.086,40;149.165.759,98;80.473,00;0,682;0,838
5211602;Ivolândia;Iporá;GO;Centro-Oeste;1.257,66;2.334,00;900,65206;84.886,43;0,704;2.735,92;2.464.113,79;1.294,00;0,622;0,825
5211701;Jandaia;Vale do Rio dos Bois;GO;Centro-Oeste;864,11;6.025,00;2.279,10;245.069,15;0,707;3.164,36;7.211.895,07;4.861,00;0,625;0,821
5211800;Jaraguá;Anápolis;GO;Centro-Oeste;1.849,55;51.338,00;16.625,33;705.087,51;0,699;3.381,98;56.226.551,47;20.968,00;0,588;0,841
5211909;Jataí;Sudoeste de Goiás;GO;Centro-Oeste;7.174,23;102.065,00;33.467,52;4.599.881,39;0,757;4.488,41;150.215.949,63;65.535,00;0,656;0,856
5212006;Jaupaci;Iporá;GO;Centro-Oeste;527,1;2.860,00;1.044,30;49.282,58;0,689;2.707,35;2.827.280,81;1.450,00;0,602;0,824
5212055;Jesúpolis;Anápolis;GO;Centro-Oeste;122,48;2.506,00;843,42849;29.114,36;0,649;2.710,37;2.286.000,01;1.030,00;0,522;0,814
5212105;Joviânia;Meia Ponte;GO;Centro-Oeste;445,49;7.402,00;2.612,39;210.209,58;0,706;3.529,31;9.219.945,50;3.205,00;0,595;0,827
5212204;Jussara;Rio Vermelho;GO;Centro-Oeste;4.084,11;18.371,00;6.429,25;445.322,24;0,743;3.401,74;21.870.660,70;10.623,00;0,635;0,842
5212253;Lagoa Santa;Quirinópolis;GO;Centro-Oeste;458,87;1.621,00;582,58642;39.391,54;0,74;3.456,49;2.013.706,06;958;0,638;0,868
5212303;Leopoldo de Bulhões;Goiânia;GO;Centro-Oeste;480,89;7.651,00;2.576,26;225.523,27;0,659;2.958,58;7.622.081,57;5.450,00;0,529;0,812
5212501;Luziânia;Entorno de Brasília;GO;Centro-Oeste;3.961,12;211.508,00;63.020,87;3.578.084,58;0,701;3.572,02;225.111.669,00;76.814,00;0,602;0,831
5212600;Mairipotaba;Meia Ponte;GO;Centro-Oeste;467,43;2.363,00;880,58238;50.284,20;0,745;2.943,71;2.592.183,13;1.192,00;0,648;0,854
5212709;Mambaí;Vão do Paranã;GO;Centro-Oeste;880,62;9.081,00;2.641,80;81.436,82;0,626;2.306,85;6.094.230,26;3.037,00;0,494;0,816
5212808;Mara Rosa;Porangatu;GO;Centro-Oeste;1.687,90;9.363,00;3.189,35;192.491,97;0,691;3.072,32;9.798.713,97;4.224,00;0,579;0,838
