Código IBGE;Municípios;Microrregião;Estado;Região Geográfica;Área Km²;População;Domicílios;PIB Total (R$ mil);IDH - Índice de Desenv. Humano;Renda Média;Renda Nominal;PEA Dia;IDH - Dimensão Educação;IDH - Dimensão Longevidade; Última Atualização
5211503;Itumbiara;Centro-Oeste;GO;Meia Ponte;2.462,93;105.809;36.502,96;4.187.512,28;0.752;4.086,40;149.165.759,98;80.473,00;0.682;0.838;01/06/2024 01:40:00
5211602;Ivolândia;Centro-Oeste;GO;Iporá;1.257,66;2.334;900,65;84.886,43;0.704;2.735,92;2.464.113,79;1.294,00;0.622;0.825;01/06/2024 01:40:00
5211701;Jandaia;Centro-Oeste;GO;Vale do Rio dos Bois;864,11;6.025;2.279,1;245.069,15;0.707;3.164,36;7.211.895,07;4.861,00;0.625;0.821;01/06/2024 01:40:00
5211800;Jaraguá;Centro-Oeste;GO;Anápolis;1.849,55;51.338;16.625,33;705.087,51;0.699;3.381,98;56.226.551,47;20.968,00;0.588;0.841;01/06/2024 01:40:00
5211909;Jataí;Centro-Oeste;GO;Sudoeste de Goiás;7.174,23;102.065;33.467,52;4.599.881,39;0.757;4.488,41;150.215.949,63;65.535,00;0.656;0.856;01/06/2024 01:40:00
5212006;Jaupaci;Centro-Oeste;GO;Iporá;527,1;2.860;1.044,3;49.282,58;0.689;2.707,35;2.827.280,81;1.450,00;0.602;0.824;01/06/2024 01:40:00
5212055;Jesúpolis;Centro-Oeste;GO;Anápolis;122,48;2.506;843,43;29.114,36;0.649;2.710,37;2.286.000,01;1.030,00;0.522;0.814;01/06/2024 01:40:00
5212105;Joviânia;Centro-Oeste;GO;Meia Ponte;445,49;7.402;2.612,39;210.209,58;0.706;3.529,31;9.219.945,50;3.205,00;0.595;0.827;01/06/2024 01:40:00
5212204;Jussara;Centro-Oeste;GO;Rio Vermelho;4.084,11;18.371;6.429,25;445.322,24;0.743;3.401,74;21.870.660,70;10.623,00;0.635;0.842;01/06/2024 01:40:00
5212253;Lagoa Santa;Centro-Oeste;GO;Quirinópolis;458,87;1.621;582,59;39.391,54;0.74;3.456,49;2.013.706,06;958,00;0.638;0.868;01/06/2024 01:40:00
5212303;Leopoldo de Bulhões;Centro-Oeste;GO;Goiânia;480,89;7.651;2.576,26;225.523,27;0.659;2.958,58;7.622.081,57;5.450,00;0.529;0.812;01/06/2024 01:40:00
5212501;Luziânia;Centro-Oeste;GO;Entorno de Brasília;3.961,12;211.508;63.020,87;3.578.084,58;0.701;3.572,02;225.111.669,00;76.814,00;0.602;0.831;01/06/2024 01:40:00
5212600;Mairipotaba;Centro-Oeste;GO;Meia Ponte;467,43;2.363;880,58;50.284,20;0.745;2.943,71;2.592.183,13;1.192,00;0.648;0.854;01/06/2024 01:40:00
5212709;Mambaí;Centro-Oeste;GO;Vão do Paranã;880,62;9.081;2.641,8;81.436,82;0.626;2.306,85;6.094.230,26;3.037,00;0.494;0.816;01/06/2024 01:40:00
5212808;Mara Rosa;Centro-Oeste;GO;Porangatu;1.687,9;9.363;3.189,35;192.491,97;0.691;3.072,32;9.798.713,97;4.224,00;0.579;0.838;01/06/2024 01:40:00
5212907;Marzagão;Centro-Oeste;GO;Meia Ponte;222,43;2.250;803,21;41.951,19;0.699;3.218,18;2.584.882,73;1.121,00;0.601;0.822;01/06/2024 01:40:00
